filepath	source_en	target_ja
./admin/AddCat.jsp	"<h3 class=""box-title"">Categories</h3>"	"<h3 class=""box-title"">分類</h3>"
./admin/AddCat.jsp	"<input type=""text"" id=""catname"" class=""form-control"" placeholder=""Enter New Category""/>"	"<input type=""text"" id=""catname"" class=""form-control"" placeholder=""新しい分類の名前を入力""/>"
./admin/AddCat.jsp	"<button class=""btn btn-block btn-info btn-lg"" id=""addCat"">Add"	"<button class=""btn btn-block btn-info btn-lg"" id=""addCat"">分類を"
./admin/AddCat.jsp	Category</button>	追加</button>
./admin/AddCat.jsp	<th>Name</th>	<th>名称</th>
./admin/AddCat.jsp	<th>Options</th>	<th>操作</th>
./admin/AddVuln.jsp	"<h3 class=""box-title"">Vulnerabilities</h3>"	"<h3 class=""box-title"">脆弱性</h3>"
./admin/AddVuln.jsp	"<button class=""btn btn-block btn-info btn-lg"" id=""addVuln"">Add"	"<button class=""btn btn-block btn-info btn-lg"" id=""addVuln"">脆弱性を"
./admin/AddVuln.jsp	Vulnerability</button>	追加</button>
./admin/AddVuln.jsp	<th>Name</th>	<th>名称</th>
./admin/AddVuln.jsp	<th>Severity</th>	<th>重要度</th>
./admin/AddVuln.jsp	<th>Active?</th>	<th>有効</th>
./admin/AddVuln.jsp	<th>Options</th>	<th>操作</th>
./admin/AddVuln.jsp	"<b><i class=""fa fa-bug""></i> Vulnerability Entry Form</b>"	"<b><i class=""fa fa-bug""></i> 脆弱性入力フォーム</b>"
./admin/AddVuln.jsp	"<label for=""title"" class=""col-sm-2 control-label"">Title:"	"<label for=""title"" class=""col-sm-2 control-label"">名称:"
./admin/AddVuln.jsp	"placeholder=""Vulnerbility Name"" />"	"placeholder=""脆弱性の名称"" />"
./admin/AddVuln.jsp	"<label for=""title"" class=""col-sm-2 control-label"">Overall"	"<label for=""title"" class=""col-sm-2 control-label"">深刻"
./admin/AddVuln.jsp	Severity: *</label>	度: *</label>
./admin/AddVuln.jsp	"<label class=""col-sm-2 control-label"">Category: *</label>"	"<label class=""col-sm-2 control-label"">分類: *</label>"
./admin/AddVuln.jsp	"<label for=""title"" class=""col-sm-2 control-label"">Impact"	"<label for=""title"" class=""col-sm-2 control-label"">影響"
./admin/AddVuln.jsp	"<label for=""title"" class=""col-sm-2 control-label"">Likelihood"	"<label for=""title"" class=""col-sm-2 control-label"">悪用可能"
./admin/AddVuln.jsp	"<i class=""glyphicon glyphicon-edit""></i> Vulnerability"	"<i class=""glyphicon glyphicon-edit""></i> 脆弱性"
./admin/AddVuln.jsp	Description: *<small></small>	説明: *<small></small>
./admin/AddVuln.jsp	Recommendation: *<small></small>	推奨事項: *<small></small>
./admin/AddVuln.jsp	"<i class=""fa fa-save""></i> Save changes"	"<i class=""fa fa-save""></i> 保存"
./admin/AddVuln.jsp	"data-dismiss=""modal"">Close</button>"	"data-dismiss=""modal"">閉じる</button>"
./admin/Checklists.jsp	"<i class=""glyphicon glyphicon-wrench""></i> CheckLists"	"<i class=""glyphicon glyphicon-wrench""></i> チェックリスト"
./admin/Checklists.jsp	"<bs:button color=""success"" size=""md"" colsize=""4"" text=""<span class='fa fa-plus'></span> Create new checklist"" id=""add""></bs:button>"	"<bs:button color=""success"" size=""md"" colsize=""4"" text=""<span class='fa fa-plus'></span> 新規作成"" id=""add""></bs:button>"
./admin/Checklists.jsp	"<bs:select name=""Select a checklist:"" colsize=""4"" id=""list"">"	"<bs:select name=""編集するチェックリストを選択:"" colsize=""4"" id=""list"">"
./admin/Checklists.jsp	"<bs:button color=""primary"" size=""md"" colsize=""2"" text=""<span class='fa fa-download'></span> Download Checklist"" id=""export""></bs:button>"	"<bs:button color=""primary"" size=""md"" colsize=""2"" text=""<span class='fa fa-download'></span> ダウンロード"" id=""export""></bs:button>"
./admin/Checklists.jsp	<td>Add New</td>	<td>項目追加</td>
./admin/Checklists.jsp	<h3>Required For: </h3>	<h3>このチェックリストを使う検査: </h3>
./admin/Checklists.jsp	<h2>Upload your checklist</h2>	<h2>送信</h2>
./admin/DefaultVulns.jsp	"<i class=""fa fa-bug""></i> Default Vulnerabilities and Ratings <small></small>"	"<i class=""fa fa-bug""></i> 脆弱性と評価 <small></small>"
./admin/DefaultVulns.jsp	"title=""Vulnerability Tracking Times <span style=font-size:x-small>Number of calendar days each item is due.</span>"">"	"title=""Vulnerability 追跡期間 <span style=font-size:x-small>脆弱性を追跡する日数を入力.</span>"">"
./admin/DefaultVulns.jsp	"name=""${levelName}  - Level ${riskId } Due Date:"" colsize=""6"""	"name=""${levelName}  - Level ${riskId } 追跡日数:"" colsize=""6"""
./admin/DefaultVulns.jsp	"name=""${levelName }- Level ${riskId } Warning Date:"""	"name=""${levelName }- Level ${riskId } 警告日数:"""
./admin/DefaultVulns.jsp	"<bs:button color=""primary"" size=""md"" colsize=""6"" text=""Update"""	"<bs:button color=""primary"" size=""md"" colsize=""6"" text=""更新"""
./admin/DefaultVulns.jsp	"<button class=""btn btn-danger"" id=""importDB"">Import from"	"<button class=""btn btn-danger"" id=""importDB"">Factionから"
./admin/DefaultVulns.jsp	Faction</button>	インポート</button>
./admin/DefaultVulns.jsp	"<a href=""https://github.com/factionsecurity/data/tree/master/db"">"	"<a href=""https://github.com/fuchse-ohren/faction-vuln-data/tree/master/db"">"
./admin/DefaultVulns.jsp	View VulnDB on GitHub</a>	脆弱性定義をGithubで閲覧</a>
./admin/DefaultVulns.jsp	Import Your Own Via API</a>	APIから独自の脆弱性をインポート</a>
./admin/DefaultVulns.jsp	"<button class=""btn btn-danger"" id=""downloadVulns"">Download"	"<button class=""btn btn-danger"" id=""downloadVulns"">すべての脆弱性を"
./admin/DefaultVulns.jsp	all Vulnerabilities to CSV</button>	CSV形式で保存</button>
./admin/DefaultVulns.jsp	"title=""Risk Level Settings <small>Change the name of the risk level</small>"">"	"title=""深刻度設定 <small>深刻度の名称変更</small>"">"
./admin/DefaultVulns.jsp	"<bs:button color=""info"" size=""md"" colsize=""3"" text=""Update"""	"<bs:button color=""info"" size=""md"" colsize=""3"" text=""更新"""
./admin/Options.jsp	"<i class=""glyphicon glyphicon-wrench""></i> Settings and Options <small></small>"	"<i class=""glyphicon glyphicon-wrench""></i> 設定 <small></small>"
./admin/Options.jsp	"<bs:box type=""success"" title=""Assessment Type"">"	"<bs:box type=""success"" title=""検査種別"">"
./admin/Options.jsp	"<bs:datatable columns=""Name,Risk Rating System,&nbsp;"" classname="""" id=""type"">"	"<bs:datatable columns=""名称, 脅威評価指標,&nbsp;"" classname="""" id=""type"">"
./admin/Options.jsp	"<bs:box type=""warning"" title=""Campaign"">"	"<bs:box type=""warning"" title=""キャンペーン"">"
./admin/Options.jsp	"<bs:datatable columns=""Name,Default,Options"" classname="""" id=""campaign"">"	"<bs:datatable columns=""名称,既定,操作"" classname="""" id=""campaign"">"
./admin/Options.jsp	"text=""<i class='fa fa-plus'></i> Add"" id=""addCampaign"">"	"text=""<i class='fa fa-plus'></i> 追加"" id=""addCampaign"">"
./admin/Options.jsp	"text=""<i class='fa fa-plus'></i> Add"" id=""addType""></bs:button>"	"text=""<i class='fa fa-plus'></i> 追加"" id=""addType""></bs:button>"
./admin/Options.jsp	"<bs:box type=""primary"" title=""Custom Fields"">"	"<bs:box type=""primary"" title=""追加項目"">"
./admin/Options.jsp	"text=""<i class='fa fa-plus'></i> Add"" id=""addCF"">"	"text=""<i class='fa fa-plus'></i> 作成"" id=""addCF"">"
./admin/Options.jsp	"columns=""Name,Variable,Default,Field Type,Applied To,Read Only,Edit"""	"columns=""名称,変数名,既定,型,適用先,読み取り専用,編集"""
./admin/Options.jsp	"<bs:box type=""primary"" title=""Configuration Settings"">"	"<bs:box type=""primary"" title=""全体設定"">"
./admin/Options.jsp	${prChecked }> Enable Peer Review Queue	${prChecked }> 査読を有効化
./admin/Options.jsp	${ selfPeerReview }> Allow Self Peer Review	${ selfPeerReview }> 自分自身で査読を可能にする
./admin/Options.jsp	${randChecked }> Allow Random AppId	${randChecked }> ランダムなAppIdを許可する
./admin/Options.jsp	"<bs:inputgroup name=""Bold Title:"" colsize=""12"" id=""title1"""	"<bs:inputgroup name=""題名:"" colsize=""12"" id=""title1"""
./admin/Options.jsp	"<bs:inputgroup name=""Secondary Title:"" colsize=""12"" id=""title2"""	"<bs:inputgroup name=""副題:"" colsize=""12"" id=""title2"""
./admin/Options.jsp	"text=""<i class='fa fa-save'></i> Save Titles"" id=""updateTitles"">"	"text=""<i class='fa fa-save'></i> 保存"" id=""updateTitles"">"
./admin/Options.jsp	"<bs:box type=""primary"" title=""Assessment Status"">"	"<bs:box type=""primary"" title=""検査進捗管理"">"
./admin/Options.jsp	"<bs:inputgroup name=""Status Name:"" colsize=""6"" id=""asmtStatus""></bs:inputgroup>"	"<bs:inputgroup name=""状態:"" colsize=""6"" id=""asmtStatus""></bs:inputgroup>"
./admin/Options.jsp	"<bs:datatable columns=""Status,Actions"" classname="""" id="""">"	"<bs:datatable columns=""状態,操作"" classname="""" id="""">"
./admin/Options.jsp	"<bs:box type=""info"" title=""Email Settings"">"	"<bs:box type=""info"" title=""電子メール設定"">"
./admin/Options.jsp	"<bs:inputgroup name=""Email Server:"" colsize=""12"" id=""emailServer"""	"<bs:inputgroup name=""電子メールサーバ:"" colsize=""12"" id=""emailServer"""
./admin/Options.jsp	"<bs:inputgroup name=""Email Port:"" colsize=""12"" id=""emailPort"""	"<bs:inputgroup name=""ポート番号:"" colsize=""12"" id=""emailPort"""
./admin/Options.jsp	"<bs:inputgroup name=""Email Protocol:"" colsize=""12"""	"<bs:inputgroup name=""プロトコル:"" colsize=""12"""
./admin/Options.jsp	${authChecked}> Use Authentication	${authChecked}> 認証
./admin/Options.jsp	${tlsChecked}> Use TLS	${tlsChecked}> TLS
./admin/Options.jsp	${sslChecked}> Use SSL	${sslChecked}> SSL
./admin/Options.jsp	"name=""Account Username (Sender Account if UnAuthenticated):"""	"name=""ユーザー名:"""
./admin/Options.jsp	"<bs:inputgroup name=""Email from Address:"" colsize=""12"""	"<bs:inputgroup name=""送信元メールアドレス:"" colsize=""12"""
./admin/Options.jsp	"<bs:inputgroup name=""Account Password:"" colsize=""12"""	"<bs:inputgroup name=""パスワード:"" colsize=""12"""
./admin/Options.jsp	"<bs:inputgroup name=""Email Subject Prefix: "" colsize=""12"""	"<bs:inputgroup name=""件名の接頭辞: "" colsize=""12"""
./admin/Options.jsp	<label>Email Signature:</label>	<label>署名:</label>
./admin/Options.jsp	"text=""<i class='fa fa-save'></i> Save"" id=""saveEmail"">"	"text=""<i class='fa fa-save'></i> 保存"" id=""saveEmail"">"
./admin/Options.jsp	"text=""<i class='fa fa-envelope'></i> Save and Test Email"""	"text=""<i class='fa fa-envelope'></i> 保存してテストメールを送信"""
./admin/VerificationSettings.jsp	"<h3 class=""box-title"">Verification Settings</h3>"	"<h3 class=""box-title"">検査設定</h3>"
./admin/VerificationSettings.jsp	<b>These settings control how assessors close verifications.</b>	<b>検査完了時にどのように処理するか設定します。</b>
./admin/VerificationSettings.jsp	"<input type=""radio"" name=""verOption"" ${verOption == 0? 'checked':'' } value=""0""> When the Assessor closes the verification it is sent back to a a user in the Remediation Role to Manage.<br>"	"<input type=""radio"" name=""verOption"" ${verOption == 0? 'checked':'' } value=""0""> 修正担当のロールを持つ利用者に自動的に管理を引き継ぐ<br>"
./admin/VerificationSettings.jsp	"<input type=""radio"" name=""verOption"" ${verOption == 1? 'checked':'' } value=""1""> When Assessors close the verification it is reported closed in the development environment but the vulnerability is not reported closed.<br>"	"<input type=""radio"" name=""verOption"" ${verOption == 1? 'checked':'' } value=""1""> 開発環境では「完了」として報告し脆弱性を「未解決」として記録する<br>"
./admin/VerificationSettings.jsp	"<input type=""radio"" name=""verOption"" ${verOption == 2? 'checked':'' } value=""2""> When Assessors close the verification it reports the vulnerability as being closed in the system and will no longer be tracked. <br>"	"<input type=""radio"" name=""verOption"" ${verOption == 2? 'checked':'' } value=""2""> 脆弱性は「完了」として報告し追跡は行わない <br>"
./admin/VerificationSettings.jsp	"<input type=""radio"" name=""verOption"" ${verOption == 3? 'checked':'' } value=""3""> When an Assessor closes the Verification the API handles what happens next."	"<input type=""radio"" name=""verOption"" ${verOption == 3? 'checked':'' } value=""3""> APIで自動管理"
./appstore/AppStoreDashboard.jsp	"<i class=""fa fa-rocket""></i> Installed Extensions"	"<i class=""fa fa-rocket""></i> 導入済み拡張機能"
./appstore/AppStoreDashboard.jsp	"<button class=""btn btn-success pull-right dashboardButton"" id=""installExtension""><i class=""fa fa-upload""></i>&nbsp;&nbsp;Install Extension</button>"	"<button class=""btn btn-success pull-right dashboardButton"" id=""installExtension""><i class=""fa fa-upload""></i>&nbsp;&nbsp;送信</button>"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-th-list'></i>&nbsp;&nbsp;&nbsp;Assessment Extensions <small>Drag to change order of operations. Executes from top to bottom.</small>"">"	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-th-list'></i>&nbsp;&nbsp;&nbsp;検査拡張機能 <small>ドラッグ操作で処理順を変更可能。上から順に実行されます。</small>"">"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary"" title=""<i class='fa fa-bug'></i>&nbsp;&nbsp;&nbsp;Vulnerability Extensions <small>Drag to change order of operations. Executes from top to bottom.</small>"">"	"<bs:box type=""primary"" title=""<i class='fa fa-bug'></i>&nbsp;&nbsp;&nbsp;脆弱性拡張機能 <small>ドラッグ操作で処理順を変更可能。上から順に実行されます。</small>"">"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-ok'></i>&nbsp;&nbsp;&nbsp;Verification Extensions <small>Drag to change order of operations. Executes from top to bottom.</small>"">"	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-ok'></i>&nbsp;&nbsp;&nbsp;検証拡張機能 <small>ドラッグ操作で処理順を変更可能。上から順に実行されます。</small>"">"
./appstore/AppStoreDashboard.jsp	"title=""<i class='glyphicon glyphicon-search'></i>&nbsp;&nbsp;&nbsp;Application Inventory Extensions <small>Drag to change order of operations. Executes from top to bottom.</small>"">"	"title=""<i class='glyphicon glyphicon-search'></i>&nbsp;&nbsp;&nbsp;アプリケーション一覧拡張機能 <small>ドラッグ操作で処理順を変更可能。上から順に実行されます。</small>"">"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-ban-circle'></i>&nbsp;&nbsp;&nbsp;Disabled Extensions"">"	"<bs:box type=""primary"" title=""<i class='glyphicon glyphicon-ban-circle'></i>&nbsp;&nbsp;&nbsp;無効化された拡張機能"">"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary"" title=""Extension Description"" id=""appLoading"">"	"<bs:box type=""primary"" title=""説明"" id=""appLoading"">"
./appstore/AppStoreDashboard.jsp	"<button class=""btn btn-primary"" ><i class=""fa fa-upload""></i>&nbsp;&nbsp;Install Update</button>"	"<button class=""btn btn-primary"" ><i class=""fa fa-upload""></i>&nbsp;&nbsp;送信</button>"
./appstore/AppStoreDashboard.jsp	"<bs:box type=""primary disabled"" title=""Extension Description"" id=""appBox"">"	"<bs:box type=""primary disabled"" title=""説明"" id=""appBox"">"
./appstore/AppStoreDashboard.jsp	"<button class=""btn btn-primary"" id=""installUpdate""><i class=""fa fa-upload""></i>&nbsp;&nbsp;Install Update</button>"	"<button class=""btn btn-primary"" id=""installUpdate""><i class=""fa fa-upload""></i>&nbsp;&nbsp;送信</button>"
./appstore/AppStoreDashboard.jsp	Extension Information will be displayed here.	拡張機能情報はここに表示されます。
./appstore/AppStoreDashboard.jsp	"<button class=""btn btn-primary"" id=""saveConfigs""><i class=""fa fa-save""></i>&nbsp;&nbsp;Save</button>"	"<button class=""btn btn-primary"" id=""saveConfigs""><i class=""fa fa-save""></i>&nbsp;&nbsp;保存</button>"
./appstore/InstallExtension.jsp	"<i class=""fa fa-upload""></i> Install Extension"	"<i class=""fa fa-upload""></i> 拡張機能を送信"
./appstore/InstallExtension.jsp	"<bs:box type=""primary"" title=""Install Custom Extensions"">"	"<bs:box type=""primary"" title=""拡張機能を導入"">"
./appstore/InstallExtension.jsp	"<bs:button color=""primary"" size=""2"" colsize=""3"" text=""Back To Store"" id=""backToAppStore""></bs:button>"	"<bs:button color=""primary"" size=""2"" colsize=""3"" text=""戻る"" id=""backToAppStore""></bs:button>"
./appstore/InstallExtension.jsp	"<label>Upload Extension</label> <input id=""appFile"" type=""file"""	"<label>拡張機能をアップロード</label> <input id=""appFile"" type=""file"""
./appstore/InstallExtension.jsp	"<bs:button color=""primary"" size=""2"" colsize=""2"" text=""Cancel"" id=""cancelInstall""></bs:button>"	"<bs:button color=""primary"" size=""2"" colsize=""2"" text=""中止"" id=""cancelInstall""></bs:button>"
./appstore/InstallExtension.jsp	"<bs:button color=""success"" size=""2"" colsize=""2"" text=""Install"" id=""installExtension""></bs:button>"	"<bs:button color=""success"" size=""2"" colsize=""2"" text=""導入"" id=""installExtension""></bs:button>"
./appstore/UpdateExtension.jsp	"<i class=""fa fa-upload""></i> Update Extension: <s:property value=""app.name""/> <s:property value=""app.version""/>"	"<i class=""fa fa-upload""></i> 拡張機能の更新を送信: <s:property value=""app.name""/> <s:property value=""app.version""/>"
./appstore/UpdateExtension.jsp	"<bs:box type=""primary"" title=""Update Extension"">"	"<bs:box type=""primary"" title=""拡張機能を更新"">"
./appstore/UpdateExtension.jsp	"<label>Upload Updated Extension</label> <input id=""appFile"" type=""file"""	"<label>拡張機能の更新を送信</label> <input id=""appFile"" type=""file"""
./appstore/UpdateExtension.jsp	"<bs:button color=""primary"" size=""2"" colsize=""2"" text=""Cancel"" id=""cancelInstall""></bs:button>"	"<bs:button color=""primary"" size=""2"" colsize=""2"" text=""中止"" id=""cancelInstall""></bs:button>"
./appstore/UpdateExtension.jsp	"<bs:button color=""success"" size=""2"" colsize=""2"" text=""Install"" id=""updateExtension""></bs:button>"	"<bs:button color=""success"" size=""2"" colsize=""2"" text=""更新"" id=""updateExtension""></bs:button>"
./assessment/AddVuln.jsp	"<b><i class=""glyphicon glyphicon-plus""></i> New Vulnerability</b>"	"<b><i class=""glyphicon glyphicon-plus""></i> 新規脆弱性</b>"
./assessment/AddVuln.jsp	"<i class=""fa fa-bug""></i> Vulnerability Details"	"<i class=""fa fa-bug""></i> 説明"
./assessment/AddVuln.jsp	"class=""col-sm-2 control-label"">Title: <span"	"class=""col-sm-2 control-label"">題名: <span"
./assessment/AddVuln.jsp	"placeholder=""Search for Vulnerability Title, CVE id, or Enter Custom Name"">"	"placeholder=""脆弱性名、CVE idを入力して検索。改行で任意の名前を設定。"">"
./assessment/AddVuln.jsp	"<label for=""category"" class=""col-sm-2 control-label"">Category:"	"<label for=""category"" class=""col-sm-2 control-label"">分類:"
./assessment/AddVuln.jsp	"<label for=""section"" class=""col-sm-2 control-label"">Section:"	"<label for=""section"" class=""col-sm-2 control-label"">章:"
./assessment/AddVuln.jsp	"<label for=""title"" class=""col-sm-4 control-label"">Overall"	"<label for=""title"" class=""col-sm-4 control-label"">深刻"
./assessment/AddVuln.jsp	"Severity: <span id=""overall_header""></span>"	"度: <span id=""overall_header""></span>"
./assessment/AddVuln.jsp	"<label for=""title"" class=""col-sm-4 control-label"">Impact:"	"<label for=""title"" class=""col-sm-4 control-label"">影響:"
./assessment/AddVuln.jsp	"<label for=""title"" class=""col-sm-4 control-label"">Likelihood:"	"<label for=""title"" class=""col-sm-4 control-label"">想定事象:"
./assessment/AddVuln.jsp	"<span id=""type${id}_header""></span><br/><small>Variable: &#x24;&#x7B;cf<s:property value=""variable""/>&#x7D;</small>"	"<span id=""type${id}_header""></span><br/><small>変数名: &#x24;&#x7B;cf<s:property value=""variable""/>&#x7D;</small>"
./assessment/AddVuln.jsp	"<s:if test=""defaultValue == 'true'"">checked</s:if>"	"<s:if test=""defaultValue == 'true'"">確認済</s:if>"
./assessment/AddVuln.jsp	"<i class=""glyphicon glyphicon-edit""></i> Vulnerability"	"<i class=""glyphicon glyphicon-edit""></i> 脆弱性"
./assessment/AddVuln.jsp	"Description: <span id=""description_header""></span>"	"概要: <span id=""description_header""></span>"
./assessment/AddVuln.jsp	"Recommendation: <span id=""recommendation_header""></span>"	"推奨事項: <span id=""recommendation_header""></span>"
./assessment/AddVuln.jsp	"<i class=""glyphicon glyphicon-edit""></i> Details: <span"	"<i class=""glyphicon glyphicon-edit""></i> 詳細: <span"
./assessment/AddVuln.jsp	"<i class=""fa fa-bug""></i> Vulnerability Findings"	"<i class=""fa fa-bug""></i> 検出済み脆弱性"
./assessment/AddVuln.jsp	<th>Finding</th>	<th>検出済み脆弱性</th>
./assessment/AddVuln.jsp	"class=""fa fa-trash"" title=""Delete Vulnerability""></i></span></td>"	"class=""fa fa-trash"" title=""脆弱性を削除""></i></span></td>"
./assessment/AssessmentHeading.jsp	"<i class=""glyphicon glyphicon-th-list""></i>&nbsp;&nbsp;&nbsp;Assessment"	"<i class=""glyphicon glyphicon-th-list""></i>&nbsp;&nbsp;&nbsp;検査"
./assessment/AssessmentHeading.jsp	"<button class=""btn btn-default"" style=""z-index:999999"" onClick=""location.href='EditAssessment?action=get&aid=${assessment.id}&back=assessment'"">Edit</button>"	"<button class=""btn btn-default"" style=""z-index:999999"" onClick=""location.href='EditAssessment?action=get&aid=${assessment.id}&back=assessment'"">編集</button>"
./assessment/AssessmentHeading.jsp	"<s:if test=""assessment.InPr""> <span class=""text-warning fa fa-eye""></span><b class=""text-warning""> (in Peer Review)</b></s:if>"	"<s:if test=""assessment.InPr""> <span class=""text-warning fa fa-eye""></span><b class=""text-warning""> (査読中)</b></s:if>"
./assessment/AssessmentHeading.jsp	"<s:if test=""assessment.prComplete""> <span class=""text-success fa fa-eye""></span><b class=""text-success""> (Peer Review Completed)</b></s:if>"	"<s:if test=""assessment.prComplete""> <span class=""text-success fa fa-eye""></span><b class=""text-success""> (査読完了)</b></s:if>"
./assessment/AssessmentHeading.jsp	"<s:if test=""notowner""> <span class=""text-warning fa fa-warning""></span><b  class=""text-warning""> (Manager View)</b></s:if>"	"<s:if test=""notowner""> <span class=""text-warning fa fa-warning""></span><b  class=""text-warning""> (責任者)</b></s:if>"
./assessment/AssessmentHeading.jsp	"<s:if test=""assessment.Finalized""> <span class=""text-primary fa fa-check""></span><b  class=""text-primary""> Assessment Completed</b></s:if>"	"<s:if test=""assessment.Finalized""> <span class=""text-primary fa fa-check""></span><b  class=""text-primary""> 検査完了</b></s:if>"
./assessment/AssessmentQueue.jsp	"<i class=""glyphicon glyphicon-th-list""></i> Assessment Queue"	"<i class=""glyphicon glyphicon-th-list""></i> 検査一覧"
./assessment/AssessmentQueue.jsp	"<s:if test=""acengagement""><span class=""text-warning fa fa-warning""></span><b  class=""text-warning""> (Manager View)</b>"	"<s:if test=""acengagement""><span class=""text-warning fa fa-warning""></span><b  class=""text-warning""> (責任者)</b>"
./assessment/AssessmentQueue.jsp	<small>Viewing all assessments</small>	<small>すべての検査を表示中</small>
./assessment/AssessmentQueue.jsp	<small>Assessments Currently Assigned to You</small>	<small>自分に割り当てられた検査</small>
./assessment/AssessmentQueue.jsp	<th>Name</th>	"<th width=""300px"">名称</th>"
./assessment/AssessmentQueue.jsp	<th>Assessor</th>	"<th width=""300px"">検査者</th>"
./assessment/AssessmentQueue.jsp	<th>Start</th>	<th>開始</th>
./assessment/AssessmentQueue.jsp	<th>End</th>	<th>終了</th>
./assessment/AssessmentQueue.jsp	"<th width=""300px"">Findings</th>"	"<th width=""300px"">検出数</th>"
./assessment/AssessmentQueue.jsp	"<th width=""120px"">Status</th>"	"<th width=""120px"">状態</th>"
./assessment/AssessmentQueue.jsp	"<span class=""circle2 glyphicon glyphicon-book bg-gray circle2"" title=""Report Generated""></span>"	"<span class=""circle2 glyphicon glyphicon-book bg-gray circle2"" title=""報告書生成済""></span>"
./assessment/AssessmentQueue.jsp	"<span class=""circle2 glyphicon glyphicon-comment bg-gray"" title=""Report Submitted for Peer Review"" ></span>"	"<span class=""circle2 glyphicon glyphicon-comment bg-gray"" title=""報告書査読中"" ></span>"
./assessment/AssessmentQueue.jsp	"<span class=""circle2 glyphicon glyphicon-ok bg-gray"" title=""Peer Review Complete""></span>"	"<span class=""circle2 glyphicon glyphicon-ok bg-gray"" title=""査読完了""></span>"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon glyphicon-user""></i> Contacts"	"<i class=""glyphicon glyphicon-user""></i> 連絡先"
./assessment/AssessmentTextEditors.jsp	"<label for=""assessor"" class=""control-label"">Assessor(s)</label>"	"<label for=""assessor"" class=""control-label"">検査者</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""engagement"" class=""control-label"">Project Manager</label>"	"<label for=""engagement"" class=""control-label"">交戦責任者</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""remediation"" class=""control-label"">Remediation</label>"	"<label for=""remediation"" class=""control-label"">修正担当者</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""Distro"" class=""control-label"">Distro</label>"	"<label for=""Distro"" class=""control-label"">配布先</label>"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon  glyphicon-list-alt""></i> Assessment Info"	"<i class=""glyphicon  glyphicon-list-alt""></i> 検査情報"
./assessment/AssessmentTextEditors.jsp	"<label class="""">Date Range</label>"	"<label class="""">期間</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""Distro"" class=""control-label"">Status <span id=""status_header""></span></label>"	"<label for=""Distro"" class=""control-label"">状態 <span id=""status_header""></span></label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""type"" class=""control-label"">Type</label>"	"<label for=""type"" class=""control-label"">型</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""team"" class=""control-label"">Team</label>"	"<label for=""team"" class=""control-label"">組織</label>"
./assessment/AssessmentTextEditors.jsp	"<label for=""campaign"" disabled="""" class=""control-label"">Campaign</label>"	"<label for=""campaign"" disabled="""" class=""control-label"">キャンペーン</label>"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon  glyphicon-list-alt""></i> Assessment Variables"	"<i class=""glyphicon  glyphicon-list-alt""></i> 変数"
./assessment/AssessmentTextEditors.jsp	"<span id=""cust${id}_header""></span><br/><small>Variable: &#x24;&#x7B;cf<s:property value=""type.variable""/>&#x7D;</small>"	"<span id=""cust${id}_header""></span><br/><small>変数: &#x24;&#x7B;cf<s:property value=""type.variable""/>&#x7D;</small>"
./assessment/AssessmentTextEditors.jsp	"<s:if test=""value == 'true'"">checked</s:if>"	"<s:if test=""value == 'true'"">選択済</s:if>"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon glyphicon-edit""></i> High Level Summary <span"	"<i class=""glyphicon glyphicon-edit""></i> 概要 <span"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon glyphicon-edit""></i> Templates <small>Double click to append</small>"	"<i class=""glyphicon glyphicon-edit""></i> 雛型 <small>ダブルクリックして追加</small>"
./assessment/AssessmentTextEditors.jsp	"title='Save or Create Template'> <i class=""fa fa-save""></i>"	"title='保存'> <i class=""fa fa-save""></i>"
./assessment/AssessmentTextEditors.jsp	"title='Add Templates to Editor'> <i class=""fa fa-plus""></i>"	"title='編集画面に雛型を追加'> <i class=""fa fa-plus""></i>"
./assessment/AssessmentTextEditors.jsp	"title='Delete Selected Templates' for=""summary""> <i"	"title='選択済みの雛型を削除' for=""summary""> <i"
./assessment/AssessmentTextEditors.jsp	"<i class=""glyphicon glyphicon-asterisk""></i> Detailed Summary /"	"<i class=""glyphicon glyphicon-asterisk""></i> 詳細 /"
